Temperature,Humidity,Wind Speed,Weather Condition,Date,Time
17.1,19,9.0,Partly Cloudy,2024-12-08,14:14
12.6,22,9.4,Overcast,2024-12-08,14:14
13.2,23,11.5,Sunny,2024-12-08,13:55
14.3,23,10.4,Sunny,2024-12-08,13:56
15.3,28,15.1,Sunny,2024-12-08,14:34
15.9,36,17.6,Sunny,2024-12-08,14:15
15.8,46,8.3,Patchy rain possible,2024-12-08,14:15
16.4,39,10.4,Patchy rain possible,2024-12-08,14:13
16.8,31,12.6,Sunny,2024-12-08,14:13
16.8,20,9.7,Partly cloudy,2024-12-08,14:14
15.3,21,9.7,Sunny,2024-12-08,14:13
15.7,23,8.3,Sunny,2024-12-08,14:13
16.4,28,11.2,Sunny,2024-12-08,14:14
16.8,33,11.5,Sunny,2024-12-08,14:14
17.7,36,14.0,Sunny,2024-12-08,14:13
17.7,28,9.4,Sunny,2024-12-08,14:14
17.4,25,10.4,Partly cloudy,2024-12-08,13:55
16.9,24,10.8,Sunny,2024-12-08,14:14
16.5,24,9.4,Sunny,2024-12-08,14:13
17.3,27,12.2,Sunny,2024-12-08,14:14
17.5,30,11.2,Partly cloudy,2024-12-08,14:13
17.8,37,9.4,Sunny,2024-12-08,14:14
17.9,51,14.4,Patchy light rain with thunder,2024-12-08,14:13
19.5,42,9.7,Thundery outbreaks possible,2024-12-08,14:13
19.5,40,10.8,Patchy rain possible,2024-12-08,14:13
20.2,35,10.8,Overcast,2024-12-08,14:13
21.6,39,12.2,Sunny,2024-12-08,14:14
22.2,39,14.4,Patchy rain possible,2024-12-08,14:14
22.8,37,11.2,Sunny,2024-12-08,13:55
22.6,37,10.1,Partly cloudy,2024-12-08,14:13
23.0,33,10.1,Sunny,2024-12-08,14:13
