Temperature,Humidity,Wind Speed,Weather Condition,Date,Time
12.0,34,9.4,Clear,2024-12-03,23:07
15.8,46,8.3,Patchy rain possible,2024-12-03,23:23
16.4,39,10.4,Patchy rain possible,2024-12-03,23:07
16.8,31,12.6,Sunny,2024-12-03,23:07
16.8,20,9.7,Partly cloudy,2024-12-03,22:52
15.3,21,9.7,Sunny,2024-12-03,23:23
15.7,23,8.3,Sunny,2024-12-03,23:07
16.4,28,11.2,Sunny,2024-12-03,22:52
16.8,33,11.5,Sunny,2024-12-03,22:52
17.7,36,14.0,Sunny,2024-12-03,23:07
17.7,28,9.4,Sunny,2024-12-03,23:07
17.4,25,10.4,Partly cloudy,2024-12-03,23:08
16.9,24,10.8,Sunny,2024-12-03,23:08
16.5,24,9.4,Sunny,2024-12-03,23:07
17.3,27,12.2,Sunny,2024-12-03,23:08
17.5,30,11.2,Partly cloudy,2024-12-03,23:08
17.8,37,9.4,Sunny,2024-12-03,22:52
17.9,51,14.4,Patchy light rain with thunder,2024-12-03,22:52
19.5,42,9.7,Thundery outbreaks possible,2024-12-03,23:08
19.5,40,10.8,Patchy rain possible,2024-12-03,23:07
20.2,35,10.8,Overcast,2024-12-03,23:07
21.6,39,12.2,Sunny,2024-12-03,22:52
22.2,39,14.4,Patchy rain possible,2024-12-03,23:08
22.8,37,11.2,Sunny,2024-12-03,22:52
22.6,37,10.1,Partly cloudy,2024-12-03,22:52
23.0,33,10.1,Sunny,2024-12-03,23:23
22.9,31,9.7,Sunny,2024-12-03,23:08
22.6,30,10.1,Sunny,2024-12-03,23:07
22.9,28,10.8,Sunny,2024-12-03,23:08
22.6,27,11.9,Sunny,2024-12-03,23:07
23.1,24,10.4,Sunny,2024-12-03,22:52
